Congress,Years,BillsIntroduced,AvgBillsIntroducedPerMember,BillsPassed,BillsPassedtoBillsIntroduced,RecordedVotes,DaysInSession,HoursInSession,HrsPerDayInSession,CommitteeAndSubcommitteeMeetings
80,1947-1948,7611,17.5,1739,0.228,285,254,1224,4.8,n.a.
81,1949-1950,10502,24.1,2482,0.236,543,341,1501,4.4,n.a.
82,1951-1952,9065,20.8,2008,0.222,364,274,1163,4.2,n.a.
83,1953-1954,10875,25,2129,0.196,271,226,1033,4.3,n.a.
84,1955-1956,13169,30.3,2360,0.179,279,228,937,4.1,3210
85,1957-1958,14580,33.5,2064,0.142,415,276,1148,4.2,3750
86,1959-1960,14112,32.3,1636,0.116,382,271,1039,3.9,3059
87,1961-1962,14328,32.8,1927,0.134,524,305,1227,4,3402
88,1963-1964,14022,32.2,1267,0.09,528,334,1251,3.7,3596
89,1965-1966,19874,45.7,1565,0.079,782,337,1548,4.6,4367
90,1967-1968,22060,50.7,1213,0.055,875,326,1595,4.9,4386
91,1969-1971,21436,49.3,1130,0.053,812,349,1613,4.6,5066
92,1971-1972,18561,42.7,970,0.052,934,298,1429,4.8,5114
93,1973-1974,18872,43.4,923,0.049,1453,334,1603,4.8,5888
94,1975-1976,16982,39,968,0.057,1692,311,1788,5.7,6975
95,1977-1978,15587,35.8,1027,0.066,1724,324,1898,5.9,7896
96,1979-1980,9103,20.9,929,0.102,1439,326,1876,5.8,7033
97,1981-1982,8094,18.6,704,0.087,859,305,1420,4.7,6078
98,1983-1984,7105,16.3,978,0.138,996,267,1705,6.4,5661
99,1985-1986,6499,14.9,973,0.15,970,282,1794,6.4,5272
100,1987-1988,6263,14.4,1061,0.169,976,299,1659,5.6,5388
101,1989-1990,6664,15.3,968,0.145,915,288,1688,6,5305
102,1991-1992,6775,15.6,932,0.138,932,278,1796,6.5,5152
103,1993-1994,5739,13.2,749,0.131,1122,266,1887,7.1,4304
104,1995-1996,4542,10.4,611,0.135,1340,296,2445,8.4,3796
105,1997-1998,5014,11.5,710,0.142,1187,252,2002,8,3624
106,1999-2000,5815,13.4,957,0.165,1214,276,2179,8,3347
107,2001-2002,5892,13.5,677,0.115,996,272,1694,6.4,2254
108,2003-2004,5547,12.8,801,0.144,1221,248,1894,7.8,2135
109,2005-2006,6540,15,770,0.118,1212,247,1918,8,2492
110,2007-2008,7441,17.1,1101,0.148,1876,286,2138,7.6,2949
111,2009-2010,6677,15.3,861,0.129,1655,290,2127,7.4,2426
112,2011-2012,6845,15.7,561,0.082,1607,330,1718,5.3,2524
113,2013-2014,6030,13.9,682,0.113,1205,298,1472,5,2307
114,2015-2016,6634,15.3,896,0.135,1327,288,1438,5,2112
115,2017-2018,7542,17.3,1162,0.154,1210,384,1517,4.0,1841
